chunked_length,stride,mean.1.Precision,mean.1.Recall,mean.3.Precision,mean.3.Recall,mean.5.Precision,mean.5.Recall,mean.10.Precision,mean.10.Recall,std.1.Precision,std.1.Recall,std.3.Precision,std.3.Recall,std.5.Precision,std.5.Recall,std.10.Precision,std.10.Recall
256,32,0.5967741935483871,0.592741935483871,0.2473118279569892,0.7298387096774194,0.1629032258064516,0.8004032258064516,0.08750000000000001,0.8588709677419356,0.0,0.0,2.7755575615628914e-17,0.0,0.0,0.0,0.0,1.1102230246251565e-16
128,16,0.6209677419354839,0.6169354838709677,0.2540322580645161,0.75,0.1620967741935484,0.7963709677419355,0.08669354838709678,0.8508064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,8,0.5887096774193549,0.5846774193548387,0.2540322580645161,0.75,0.16774193548387098,0.8245967741935484,0.08709677419354839,0.8568548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4,0.5604838709677419,0.5544354838709677,0.2620967741935484,0.7762096774193549,0.16129032258064516,0.7943548387096774,0.08669354838709678,0.8508064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
