database,clusters,top_c,MAP@10,MAR@10,MAF1@10,cluster_time,query_time
Vector Database,0,0,0.2297,0.1496890959589684,0.1812576360681367,0.0,9.62410713341087
Cluster Database,2,1,0.1956,0.1275866304206131,0.1544367406398765,4.327075242996216,5.771277766581624
Cluster Database,2,2,0.2297,0.1496890959589684,0.1812576360681367,4.327075242996216,10.378535158396698
Cluster Database,5,1,0.174,0.1137939654513486,0.1375994799437993,5.46254301071167,3.436971508199349
Cluster Database,5,2,0.2108,0.1374498221746172,0.1664002142684865,5.46254301071167,5.651528466609307
Cluster Database,5,3,0.2234,0.1455353991784527,0.1762509547680466,5.46254301071167,8.013011991605163
Cluster Database,5,4,0.2279,0.148454910948932,0.1797923886257056,5.46254301071167,10.096878508199008
Cluster Database,5,5,0.2297,0.1496890959589684,0.1812576360681367,5.46254301071167,13.351284941798076
Cluster Database,10,1,0.1533,0.0995530916553197,0.1207142760315893,7.82201099395752,2.7532773999962954
Cluster Database,10,2,0.1917,0.1252608195677283,0.1515171442570208,7.82201099395752,3.7308511584065855
Cluster Database,10,3,0.208,0.1357158121817534,0.1642571446138623,7.82201099395752,5.431591866607778
Cluster Database,10,4,0.2182,0.1424919641567134,0.1724005504346979,7.82201099395752,8.161811899999156
Cluster Database,10,5,0.2228,0.1452059813156138,0.1758226457160365,7.82201099395752,9.508063991600649
Cluster Database,10,6,0.2266,0.1475828298437626,0.1787482833274856,7.82201099395752,9.590739975008182
Cluster Database,10,7,0.2278,0.1483985393793251,0.1797199283462615,7.82201099395752,11.151100016804412
Cluster Database,10,8,0.2289,0.1491495596181163,0.1806130086810491,7.82201099395752,12.479616908403113
Cluster Database,10,9,0.2294,0.1495224292923017,0.1810420425294728,7.82201099395752,14.621974299987778
Cluster Database,10,10,0.2297,0.1496890959589684,0.1812576360681367,7.82201099395752,15.776189016597346
Cluster Database,50,1,0.1392,0.0894530531829885,0.1089149244213845,34.2392520904541,1.492613475001417
Cluster Database,50,6,0.2083,0.1353601493989924,0.1640895470081105,34.2392520904541,4.616457683383487
Cluster Database,50,11,0.2195,0.1428733708587619,0.1730850411506718,34.2392520904541,8.385685041593387
Cluster Database,50,17,0.2233,0.1455438485249438,0.1762260181678051,34.2392520904541,14.20013396681752
Cluster Database,50,22,0.2264,0.1475133596510726,0.1786350969442129,34.2392520904541,17.905351975001395
Cluster Database,50,28,0.2271999999999999,0.1480786673396001,0.1792986180539393,34.2392520904541,22.448808458214625
Cluster Database,50,33,0.2286,0.1490515120387606,0.1804477120619262,34.2392520904541,26.90466390000656
Cluster Database,50,39,0.2294,0.149486464380021,0.1810156770044017,34.2392520904541,31.36655615000054
Cluster Database,50,44,0.2296,0.149636464380021,0.1811879154491073,34.2392520904541,34.64658230838832
Cluster Database,50,50,0.2297,0.1496890959589684,0.1812576360681367,34.2392520904541,39.270904208393766
Cluster Database,100,1,0.1334,0.0858921071774453,0.1044999498153364,79.55471611022949,1.4467022333992643
Cluster Database,100,12,0.2149,0.1399556625691727,0.1695138336999334,79.55471611022949,6.9181813665898515
Cluster Database,100,23,0.2238,0.1456799306832396,0.1764814041543176,79.55471611022949,13.109795558196492
Cluster Database,100,34,0.2269,0.1477006480936242,0.1789280249406687,79.55471611022949,19.3306082081981
Cluster Database,100,45,0.228,0.1484397278434238,0.1798123600938199,79.55471611022949,24.75782505001407
Cluster Database,100,56,0.2287,0.148949450065646,0.1804040187220812,79.55471611022949,30.444408924994057
Cluster Database,100,67,0.2292,0.1493209109576951,0.1808320322642823,79.55471611022949,28.90764030821156
Cluster Database,100,78,0.2294,0.1494914769113493,0.1810193519422305,79.55471611022949,42.748948491597545
Cluster Database,100,89,0.2296,0.149605762625635,0.1811654066700289,79.55471611022949,48.83342993340921
Cluster Database,100,100,0.2297,0.1496890959589684,0.1812576360681367,79.55471611022949,53.90249025819357
Cluster Database,200,1,0.12560000000000002,0.08063890412805812,0.09821858200134012,163.3946771621704,1.2316619500052184
Cluster Database,200,23,0.2195,0.1429507857649771,0.1731418372245363,163.3946771621704,7.962065691803582
Cluster Database,200,45,0.2251,0.14680667873395056,0.1777122341309304,163.3946771621704,15.569126374996268
Cluster Database,200,67,0.22740000000000002,0.14815685397924191,0.17941820652668372,163.3946771621704,21.519275841792116
Cluster Database,200,89,0.2284,0.14874581665055753,0.18016132234851406,163.3946771621704,26.581537424982525
Cluster Database,200,111,0.2292,0.149166296536169,0.18071860775697673,163.3946771621704,37.96724419181701
Cluster Database,200,133,0.2295,0.14957798484785728,0.18111390740014002,163.3946771621704,42.62272463340778
Cluster Database,200,155,0.22960000000000003,0.14963354040341287,0.1811857719128812,163.3946771621704,49.56836125000846
Cluster Database,200,177,0.2297,0.1496890959589684,0.1812576360681367,163.3946771621704,56.05404862500727
Cluster Database,200,200,0.2297,0.1496890959589684,0.1812576360681367,163.3946771621704,59.404378791619095
